"site","year","plot","treatment","kartez","genus","sp.epithet","family","LifeHistory","PhotoPath","FunctionalGroup","cover","biomass.BM","biomass.BIM","SiteCluster","MetStation","season.precip","GDD","SPEI"
"removal_blue",1995,"1RU","R_BOGR2","annual.forb",NA,NA,NA,"annual","unknown","forb",0.1,0.256816666666667,0.256816666666667,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"4C","control","annual.forb",NA,NA,NA,"annual","unknown","forb",0.25,0.642041666666667,0.642041666666667,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"1C","control","BOGR2","Bouteloua","gracilis","Poaceae","perennial","C4","grass",25,64.7,60.65,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"1RU","R_BOGR2","BOGR2","Bouteloua","gracilis","Poaceae","perennial","C4","grass",30,77.64,72.78,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"2C","control","BOGR2","Bouteloua","gracilis","Poaceae","perennial","C4","grass",25,64.7,60.65,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"2RU","R_BOGR2","BOGR2","Bouteloua","gracilis","Poaceae","perennial","C4","grass",20,51.76,48.52,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"3C","control","BOGR2","Bouteloua","gracilis","Poaceae","perennial","C4","grass",25,64.7,60.65,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"3RU","R_BOGR2","BOGR2","Bouteloua","gracilis","Poaceae","perennial","C4","grass",25,64.7,60.65,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"4C","control","BOGR2","Bouteloua","gracilis","Poaceae","perennial","C4","grass",30,77.64,72.78,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"4RU","R_BOGR2","BOGR2","Bouteloua","gracilis","Poaceae","perennial","C4","grass",20,51.76,48.52,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"5C","control","BOGR2","Bouteloua","gracilis","Poaceae","perennial","C4","grass",25,64.7,60.65,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"5RU","R_BOGR2","BOGR2","Bouteloua","gracilis","Poaceae","perennial","C4","grass",25,64.7,60.65,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"4C","control","CACTUS",NA,NA,"Cactaceae","perennial","CAM","shrub",0.1,0.1936,0.1936,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"1C","control","perennial.forb",NA,NA,NA,"perennial","unknown","forb",1.5,3.85225,3.85225,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"1RU","R_BOGR2","perennial.forb",NA,NA,NA,"perennial","unknown","forb",1.5,3.85225,3.85225,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"2C","control","perennial.forb",NA,NA,NA,"perennial","unknown","forb",0.5,1.28408333333333,1.28408333333333,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"2RU","R_BOGR2","perennial.forb",NA,NA,NA,"perennial","unknown","forb",0.5,1.28408333333333,1.28408333333333,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"3C","control","perennial.forb",NA,NA,NA,"perennial","unknown","forb",0.1,0.256816666666667,0.256816666666667,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"3RU","R_BOGR2","perennial.forb",NA,NA,NA,"perennial","unknown","forb",1,2.56816666666667,2.56816666666667,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"4C","control","perennial.forb",NA,NA,NA,"perennial","unknown","forb",0.25,0.642041666666667,0.642041666666667,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"4RU","R_BOGR2","perennial.forb",NA,NA,NA,"perennial","unknown","forb",1,2.56816666666667,2.56816666666667,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"5C","control","perennial.forb",NA,NA,NA,"perennial","unknown","forb",1.5,3.85225,3.85225,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"5RU","R_BOGR2","perennial.forb",NA,NA,NA,"perennial","unknown","forb",1,2.56816666666667,2.56816666666667,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"1C","control","perennial.grass",NA,NA,NA,"perennial","unknown","grass",1,2.56816666666667,2.56816666666667,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"1RU","R_BOGR2","perennial.grass",NA,NA,NA,"perennial","unknown","grass",2,5.13633333333333,5.13633333333333,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"2C","control","perennial.grass",NA,NA,NA,"perennial","unknown","grass",1,2.56816666666667,2.56816666666667,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"2RU","R_BOGR2","perennial.grass",NA,NA,NA,"perennial","unknown","grass",2,5.13633333333333,5.13633333333333,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"3C","control","perennial.grass",NA,NA,NA,"perennial","unknown","grass",2.5,6.42041666666667,6.42041666666667,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"3RU","R_BOGR2","perennial.grass",NA,NA,NA,"perennial","unknown","grass",0.1,0.256816666666667,0.256816666666667,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"5C","control","perennial.grass",NA,NA,NA,"perennial","unknown","grass",3,7.7045,7.7045,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"5RU","R_BOGR2","perennial.grass",NA,NA,NA,"perennial","unknown","grass",1,2.56816666666667,2.56816666666667,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"1C","control","shrub",NA,NA,NA,"perennial","unknown","shrub",0.4,1.02726666666667,1.02726666666667,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"1RU","R_BOGR2","shrub",NA,NA,NA,"perennial","unknown","shrub",0.5,1.28408333333333,1.28408333333333,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"2C","control","shrub",NA,NA,NA,"perennial","unknown","shrub",0.4,1.02726666666667,1.02726666666667,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"2RU","R_BOGR2","shrub",NA,NA,NA,"perennial","unknown","shrub",7,17.9771666666667,17.9771666666667,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"3RU","R_BOGR2","shrub",NA,NA,NA,"perennial","unknown","shrub",0.02,0.0513633333333333,0.0513633333333333,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"4C","control","shrub",NA,NA,NA,"perennial","unknown","shrub",2,5.13633333333333,5.13633333333333,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"5C","control","shrub",NA,NA,NA,"perennial","unknown","shrub",8,20.5453333333333,20.5453333333333,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"5RU","R_BOGR2","shrub",NA,NA,NA,"perennial","unknown","shrub",4,10.2726666666667,10.2726666666667,"DeepWell","40",94.233,4109.209,NA
"removal_blue",1995,"4RU","R_BOGR2","YUCCA","Yucca",NA,"Agavaceae","perennial","CAM","shrub",2,3.872,3.872,"DeepWell","40",94.233,4109.209,NA
"removal_blackblue",1995,"1C","control","annual.forb",NA,NA,NA,"annual","unknown","forb",0.5,1.28408333333333,1.28408333333333,"DeepWell","40",94.233,4109.209,NA
"removal_blackblue",1995,"1RA","R_BOER4","annual.forb",NA,NA,NA,"annual","unknown","forb",5,12.8408333333333,12.8408333333333,"DeepWell","40",94.233,4109.209,NA
"removal_blackblue",1995,"3C","control","annual.forb",NA,NA,NA,"annual","unknown","forb",1.8,4.6227,4.6227,"DeepWell","40",94.233,4109.209,NA
"removal_blackblue",1995,"3RU","R_BOGR2","annual.forb",NA,NA,NA,"annual","unknown","forb",0.5,1.28408333333333,1.28408333333333,"DeepWell","40",94.233,4109.209,NA
"removal_blackblue",1995,"4C","control","annual.forb",NA,NA,NA,"annual","unknown","forb",0.25,0.642041666666667,0.642041666666667,"DeepWell","40",94.233,4109.209,NA
"removal_blackblue",1995,"5RA","R_BOER4","annual.forb",NA,NA,NA,"annual","unknown","forb",0.4,1.02726666666667,1.02726666666667,"DeepWell","40",94.233,4109.209,NA
"removal_blackblue",1995,"2C","control","annual.grass",NA,NA,NA,"annual","unknown","grass",2.8,7.19086666666667,7.19086666666667,"DeepWell","40",94.233,4109.209,NA
